Source Host,Destination Host,Packets Sent,Packet Loss,Packet Delivery Ratio,Delay,Test duration,Bytes Sent,Throughput
rasp2,rasp1,5,0%,100.0%,7.948 ms,10000 ms,69.3 MBytes,7.25 MB/s (58.0 Mbps)
rasp2,rasp1,10,0%,100.0%,8.306 ms,10000 ms,68.8 MBytes,7.2 MB/s (57.6 Mbps)
rasp2,rasp1,50,0%,100.0%,9.992 ms,10000 ms,69.9 MBytes,7.325 MB/s (58.6 Mbps)
rasp2,rasp1,100,0%,100.0%,9.053 ms,10000 ms,69.0 MBytes,7.225 MB/s (57.8 Mbps)
rasp2,rasp1,500,0%,100.0%,8.270 ms,10000 ms,69.9 MBytes,7.325 MB/s (58.6 Mbps)
rasp2,rasp1,1000,0%,100.0%,10.133 ms,10000 ms,63.1 MBytes,6.6 MB/s (52.8 Mbps)
rasp2,rasp3,10,0%,100.0%,7.986 ms,10000 ms,65.3 MBytes,6.8375 MB/s (54.7 Mbps)
rasp2,rasp3,50,0%,100.0%,8.795 ms,10000 ms,66.4 MBytes,6.95 MB/s (55.6 Mbps)
rasp2,rasp3,100,0%,100.0%,8.632 ms,10000 ms,65.4 MBytes,6.8375 MB/s (54.7 Mbps)
rasp2,rasp3,500,0%,100.0%,8.420 ms,10000 ms,66.6 MBytes,6.975 MB/s (55.8 Mbps)
rasp2,rasp3,1000,0%,100.0%,8.763 ms,10000 ms,65.6 MBytes,6.8625 MB/s (54.9 Mbps)
