Source Host,Destination Host,Packets Sent (No Load),Packet Loss (No Load),Packet Delivery Ratio (No Load),Delay (No Load),Test Duration (No Load),Bytes Sent (No Load),Throughput (No Load),CPU Usage (No Load),Memory Usage (No Load),Temperature (No Load),Packets Sent (Low Load),Packet Loss (Low Load),Packet Delivery Ratio (Low Load),Delay (Low Load),Bytes Transferred (Low Load),Throughput (Low Load),CPU Usage (Low Load),Memory Usage (Low Load),Temperature (Low Load),Packets Sent (Normal Load),Packet Loss (Normal Load),Packet Delivery Ratio (Normal Load),Delay (Normal Load),Bytes Transferred (Normal Load),Throughput (Normal Load),CPU Usage (Normal Load),Memory Usage (Normal Load),Temperature (Normal Load),Packets Sent (High Load),Packet Loss (High Load),Packet Delivery Ratio (High Load),Delay (High Load),Bytes Transferred (High Load),Throughput (High Load),CPU Usage (High Load),Memory Usage (High Load),Temperature (High Load)
rasp1,rasp3,10000,0%,100.0%,8.075 ms,10000 ms,71.3 MBytes,7.46 MB/s (59.70 Mbps),33.3,4.56238,50.6,10000,0%,100.0%,7.991 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),30,4.43217,51.1,10000,0.71%,99.29%,32.582 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),28.6,4.5529,55.5,10000,36.64%,63.36000000000001%,161.926 ms,73.20 MBytes,7.67 MB/s (61.40 Mbps),28.6,4.49223,58.4
rasp1,rasp2,5,0%,100.0%,5.787 ms,10000 ms,70.6 MBytes,7.40 MB/s (59.20 Mbps),40,4.31474,46.7,5,0%,100.0%,8.311 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),14.3,4.22707,46.2,5,0%,100.0%,26.477 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),30,4.20997,46.7,5,0%,100.0%,42.031 ms,73.90 MBytes,7.75 MB/s (62.00 Mbps),25,4.28311,48.7
rasp1,rasp3,500,0%,100.0%,8.351 ms,10000 ms,70.3 MBytes,7.35 MB/s (58.80 Mbps),22.2,4.34018,50.6,500,0%,100.0%,8.039 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.31556,50.6,500,0.8%,99.2%,30.118 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),22.2,4.2655,51.1,500,38.2%,61.8%,144.394 ms,72.20 MBytes,7.58 MB/s (60.60 Mbps),28.6,4.22491,51.6
rasp1,rasp3,100,0%,100.0%,8.595 ms,10000 ms,70.0 MBytes,7.33 MB/s (58.60 Mbps),30,4.36284,51.6,100,0%,100.0%,7.563 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.23552,51.1,100,0%,100.0%,26.674 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),20,4.21966,51.6,100,45%,55.00000000000001%,154.115 ms,71.40 MBytes,7.49 MB/s (59.90 Mbps),25,4.25386,53.0
rasp2,rasp1,10,0%,100.0%,7.815 ms,10000 ms,70.8 MBytes,7.40 MB/s (59.20 Mbps),30,4.52518,51.6,10,0%,100.0%,7.550 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.54836,52.5,10,0%,100.0%,26.558 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.45988,52.5,10,30%,70.0%,98.832 ms,73.60 MBytes,7.72 MB/s (61.80 Mbps),57.1,4.47193,53.0
rasp2,rasp1,50,0%,100.0%,7.864 ms,10000 ms,71.8 MBytes,7.51 MB/s (60.10 Mbps),16.7,4.55135,52.5,50,0%,100.0%,7.632 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),22.2,4.53662,52.1,50,0%,100.0%,27.100 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.50129,52.1,50,34%,66.0%,130.910 ms,72.40 MBytes,7.59 MB/s (60.70 Mbps),16.7,4.48274,53.5
rasp2,rasp1,100,0%,100.0%,7.978 ms,10000 ms,71.3 MBytes,7.46 MB/s (59.70 Mbps),22.2,4.55599,51.1,100,0%,100.0%,7.442 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),33.3,4.42712,53.5,100,0%,100.0%,26.371 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),28.6,4.45462,52.5,100,47%,53.0%,130.957 ms,73.50 MBytes,7.71 MB/s (61.70 Mbps),28.6,4.44988,53.0
rasp2,rasp1,500,0%,100.0%,8.038 ms,10000 ms,69.7 MBytes,7.29 MB/s (58.30 Mbps),27.3,4.56011,51.1,500,0%,100.0%,7.716 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),20,4.56701,52.1,500,0%,100.0%,27.752 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),14.3,4.50087,52.5,500,33.4%,66.60000000000001%,140.094 ms,72.10 MBytes,7.56 MB/s (60.50 Mbps),28.6,4.47564,53.0
rasp2,rasp1,10000,0%,100.0%,7.814 ms,10000 ms,70.9 MBytes,7.42 MB/s (59.40 Mbps),22.2,4.6009,50.6,10000,0%,100.0%,7.584 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),28.6,4.67228,50.1,10000,0.52%,99.48%,27.782 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.5804,54.0,10000,28.35%,71.65%,132.115 ms,72.50 MBytes,7.60 MB/s (60.80 Mbps),16.7,4.52807,56.9
rasp2,rasp1,5000,0%,100.0%,7.893 ms,10000 ms,71.7 MBytes,7.50 MB/s (60.00 Mbps),25,4.59338,48.2,5000,0%,100.0%,7.652 ms,1.25 MBytes,0.13 MB/s (1.05 Mbps),16.7,4.6182,46.2,5000,0%,100.0%,25.392 ms,12.00 MBytes,1.26 MB/s (10.10 Mbps),25,4.5496,49.6,5000,35.14%,64.86%,141.949 ms,72.10 MBytes,7.56 MB/s (60.50 Mbps),33.3,4.59441,53.5
