Source Host,Destination Host,Packets Sent,Packet Loss,Packet Delivery Ratio,Delay,Test duration,Bytes Sent,Throughput
rasp3,rasp1,5,0%,100.0%,4.961 ms,10000 ms,72.1 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp1,10,0%,100.0%,6.377 ms,10000 ms,72.0 MBytes,7.525 MB/s (60.2 Mbps)
rasp3,rasp1,50,0%,100.0%,7.566 ms,10000 ms,72.2 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp1,100,0%,100.0%,7.466 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp3,rasp1,500,0.2%,99.8%,8.177 ms,10000 ms,72.1 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp1,1000,0%,100.0%,7.511 ms,10000 ms,72.5 MBytes,7.5875 MB/s (60.7 Mbps)
rasp3,rasp2,5,0%,100.0%,7.415 ms,10000 ms,72.2 MBytes,7.55 MB/s (60.4 Mbps)
rasp3,rasp2,10,0%,100.0%,7.519 ms,10000 ms,72.4 MBytes,7.575 MB/s (60.6 Mbps)
rasp3,rasp2,50,0%,100.0%,7.632 ms,10000 ms,72.3 MBytes,7.575 MB/s (60.6 Mbps)
rasp3,rasp2,100,0%,100.0%,7.567 ms,10000 ms,72.6 MBytes,7.6 MB/s (60.8 Mbps)
rasp3,rasp2,500,0%,100.0%,7.586 ms,10000 ms,71.8 MBytes,7.5125 MB/s (60.1 Mbps)
rasp3,rasp2,1000,0%,100.0%,7.506 ms,10000 ms,72.4 MBytes,7.575 MB/s (60.6 Mbps)
